labels,timestamp,value
{consumergroup=shufflebench-kstreams},1699995536,3305989
{consumergroup=shufflebench-kstreams},1699995541,3953004
{consumergroup=shufflebench-kstreams},1699995546,4438957
{consumergroup=shufflebench-kstreams},1699995551,4486391
{consumergroup=shufflebench-kstreams},1699995556,4360268
{consumergroup=shufflebench-kstreams},1699995561,4171363
{consumergroup=shufflebench-kstreams},1699995566,3954023
{consumergroup=shufflebench-kstreams},1699995571,3766234
{consumergroup=shufflebench-kstreams},1699995576,3605137
{consumergroup=shufflebench-kstreams},1699995581,3375722
{consumergroup=shufflebench-kstreams},1699995586,3109236
{consumergroup=shufflebench-kstreams},1699995591,2877775
{consumergroup=shufflebench-kstreams},1699995596,2738703
{consumergroup=shufflebench-kstreams},1699995601,2544544
{consumergroup=shufflebench-kstreams},1699995606,2469506
{consumergroup=shufflebench-kstreams},1699995611,2405880
{consumergroup=shufflebench-kstreams},1699995616,2326452
{consumergroup=shufflebench-kstreams},1699995621,2263073
{consumergroup=shufflebench-kstreams},1699995626,2211417
{consumergroup=shufflebench-kstreams},1699995631,2128734
{consumergroup=shufflebench-kstreams},1699995636,2109290
{consumergroup=shufflebench-kstreams},1699995641,2042562
{consumergroup=shufflebench-kstreams},1699995646,1995687
{consumergroup=shufflebench-kstreams},1699995651,1913805
{consumergroup=shufflebench-kstreams},1699995656,1854065
{consumergroup=shufflebench-kstreams},1699995661,1816935
{consumergroup=shufflebench-kstreams},1699995666,1718250
{consumergroup=shufflebench-kstreams},1699995671,1643557
{consumergroup=shufflebench-kstreams},1699995676,1556850
{consumergroup=shufflebench-kstreams},1699995681,1736797
{consumergroup=shufflebench-kstreams},1699995686,2055777
{consumergroup=shufflebench-kstreams},1699995691,1961517
{consumergroup=shufflebench-kstreams},1699995696,2104971
{consumergroup=shufflebench-kstreams},1699995701,2065412
{consumergroup=shufflebench-kstreams},1699995706,2429473
{consumergroup=shufflebench-kstreams},1699995711,2371500
{consumergroup=shufflebench-kstreams},1699995716,2298064
{consumergroup=shufflebench-kstreams},1699995721,2280609
{consumergroup=shufflebench-kstreams},1699995726,2468108
{consumergroup=shufflebench-kstreams},1699995731,2398387
{consumergroup=shufflebench-kstreams},1699995736,2364394
{consumergroup=shufflebench-kstreams},1699995741,2321075
{consumergroup=shufflebench-kstreams},1699995746,2472371
{consumergroup=shufflebench-kstreams},1699995751,2406671
{consumergroup=shufflebench-kstreams},1699995756,2374576
{consumergroup=shufflebench-kstreams},1699995761,2355091
{consumergroup=shufflebench-kstreams},1699995766,2364427
{consumergroup=shufflebench-kstreams},1699995771,2316119
{consumergroup=shufflebench-kstreams},1699995776,2278758
{consumergroup=shufflebench-kstreams},1699995781,2197018
{consumergroup=shufflebench-kstreams},1699995786,2206334
{consumergroup=shufflebench-kstreams},1699995791,2125028
{consumergroup=shufflebench-kstreams},1699995796,2054911
{consumergroup=shufflebench-kstreams},1699995801,2040590
{consumergroup=shufflebench-kstreams},1699995806,2033155
{consumergroup=shufflebench-kstreams},1699995811,1960255
{consumergroup=shufflebench-kstreams},1699995816,1956715
{consumergroup=shufflebench-kstreams},1699995821,1886984
{consumergroup=shufflebench-kstreams},1699995826,1882494
{consumergroup=shufflebench-kstreams},1699995831,1814423
{consumergroup=shufflebench-kstreams},1699995836,1778878
{consumergroup=shufflebench-kstreams},1699995841,1698332
{consumergroup=shufflebench-kstreams},1699995846,1697963
{consumergroup=shufflebench-kstreams},1699995851,1602855
{consumergroup=shufflebench-kstreams},1699995856,1583795
{consumergroup=shufflebench-kstreams},1699995861,1537302
{consumergroup=shufflebench-kstreams},1699995866,1510627
